NOC,GDP,Year
Zimbabwe,1503,1968
Zambia,1603,1968
Uruguay,1624,1968
United States,1000000,1968
Uganda,1032,1968
Tunisia,1221,1968
Trinidad and Tobago,736,1968
Togo,292,1968
Thailand,6397,1968
Tanzania,5136,1968
Switzerland,21959,1968
Sweden,33198,1968
Suriname,186,1968
Sudan,1714,1968
Sri Lanka,1845,1968
Spain,34385,1968
South Africa,18144,1968
Singapore,1445,1968
Senegal,1322,1968
Saudi Arabia,4383,1968
Puerto Rico,4122,1968
Portugal,6997,1968
Philippines,9111,1968
Peru,6030,1968
Paraguay,480,1968
Panama,1113,1968
Pakistan,8483,1968
Norway,10807,1968
Nigeria,5461,1968
Niger,611,1968
New Zealand,5490,1968
Netherlands,31942,1968
Morocco,3409,1968
Mexico,31158,1968
Mauritius,149,1968
Malaysia,3471,1968
Luxembourg,1073,1968
Kuwait,2761,1968
Kenya,1368,1968
Jordan,526,1968
Japan,166813,1968
Jamaica,1082,1968
Italy,97238,1968
Israel,5724,1968
Ireland,3523,1968
Iraq,3010,1968
Indonesia,7456,1968
India,56393,1968
Iceland,441,1968
Hungary,5109,1968
Haiti,320,1968
Guyana,173,1968
Guatemala,1642,1968
Greece,10513,1968
Ghana,1702,1968
Germany,166419,1968
Gabon,242,1968
France,136531,1968
Finland,9413,1968
Fiji,107,1968
Ethiopia,2716,1968
Ecuador,2676,1968
Dominican Republic,1077,1968
Denmark,14294,1968
Costa Rica,752,1968
Colombia,6269,1968
China,75285,1968
Chile,7579,1968
Canada,76564,1968
Cameroon,1042,1968
Burundi,124,1968
Burkina Faso,419,1968
Brazil,36019,1968
Botswana,0,1968
Bermuda,89,1968
Belgium,22962,1968
Barbados,63,1968
Austria,13225,1968
Australia,34725,1968
Argentina,28049,1968
Algeria,4026,1968
Zimbabwe,2044,1972
Zambia,1414,1972
Uruguay,1662,1972
United States,1000000,1972
United Arab Emirates,1057,1972
Uganda,1116,1972
Tunisia,1700,1972
Trinidad and Tobago,798,1972
Togo,321,1972
Thailand,6344,1972
Tanzania,2666,1972
Switzerland,28757,1972
Sweden,38169,1972
Suriname,194,1972
Sudan,1892,1972
Sri Lanka,1947,1972
Spain,46149,1972
South Africa,19118,1972
Singapore,2078,1972
Senegal,1218,1972
Saudi Arabia,7506,1972
Samoa,0,1972
Qatar,350,1972
Puerto Rico,4899,1972
Portugal,8738,1972
Philippines,7040,1972
Peru,7135,1972
Paraguay,552,1972
Panama,1259,1972
Pakistan,7312,1972
Norway,13522,1972
Nigeria,9547,1972
Niger,531,1972
New Zealand,7431,1972
Netherlands,42785,1972
Morocco,3918,1972
Mexico,35289,1972
Mauritius,200,1972
Malaysia,3894,1972
Luxembourg,1437,1972
Kuwait,3430,1972
Kenya,1598,1972
Jordan,567,1972
Japan,253994,1972
Jamaica,1417,1972
Italy,113781,1972
Israel,7148,1972
Ireland,4890,1972
Iraq,3167,1972
Indonesia,8549,1972
India,55824,1972
Iceland,607,1972
Hungary,5701,1972
Haiti,241,1972
Guyana,174,1972
Guatemala,1593,1972
Greece,12969,1972
Ghana,1602,1972
Germany,235204,1972
Gabon,287,1972
France,157585,1972
Finland,11478,1972
Fiji,198,1972
Ethiopia,2703,1972
Ecuador,2441,1972
Dominican Republic,1504,1972
Denmark,18113,1972
Cuba,6311,1972
Costa Rica,919,1972
Colombia,6730,1972
China,88837,1972
Chile,9203,1972
