NOC,Predicted_Gold,Predicted_Total,Gold_Lower,Gold_Upper,Total_Lower,Total_Upper
United States,60,134,47,73,104,164
China,25,72,11,39,44,100
Great Britain,12,51,7,17,40,62
France,14,51,9,19,40,62
Australia,11,37,6,16,26,48
Germany,10,37,0,24,9,65
Italy,8,32,3,13,21,43
Japan,10,31,5,15,20,42
Russia,14,25,0,28,0,53
South Korea,7,23,2,12,12,34
Netherlands,7,23,2,12,12,34
Canada,6,22,1,11,11,33
Brazil,5,21,0,10,10,32
Spain,4,18,0,9,7,29
Hungary,4,16,0,9,5,27
Ukraine,2,12,0,7,1,23
New Zealand,3,11,1,5,8,14
Sweden,2,10,0,7,0,21
Poland,1,10,0,6,0,21
Cuba,2,10,0,7,0,21
Belgium,2,10,0,7,0,21
Romania,2,9,0,7,0,20
Greece,1,9,0,6,0,20
Iran,2,9,0,4,6,12
Kenya,2,8,0,4,5,11
Bulgaria,2,8,0,7,0,19
Turkey,0,7,0,2,4,10
Denmark,2,7,0,4,4,10
Kazakhstan,1,6,0,3,3,9
Belarus,4,6,0,9,0,17
Finland,4,6,0,9,0,17
Croatia,2,6,0,4,3,9
Switzerland,1,6,0,3,3,9
Uzbekistan,2,6,0,4,3,9
ROC,4,6,0,9,0,17
Ireland,1,5,0,3,2,8
Jamaica,1,5,0,3,2,8
Thailand,1,5,0,3,2,8
South Africa,1,5,0,3,2,8
Chinese Taipei,1,5,0,3,2,8
Mexico,0,5,0,2,2,8
Georgia,2,5,0,4,2,8
India,0,5,0,2,2,8
Azerbaijan,2,5,0,4,2,8
North Korea,0,5,0,2,2,8
Norway,2,5,0,4,2,8
Austria,1,4,0,3,1,7
Portugal,0,4,0,2,1,7
Ethiopia,1,4,0,3,1,7
Kyrgyzstan,0,4,0,0,3,5
Israel,0,4,0,0,3,5
Colombia,0,4,0,2,1,7
Czech Republic,1,4,0,3,1,7
Moldova,0,3,0,0,2,4
Lithuania,0,3,0,0,2,4
Ecuador,0,3,0,0,2,4
Armenia,0,3,0,0,2,4
Hong Kong,1,3,1,1,2,4
Argentina,0,3,0,2,0,6
Serbia,1,3,0,3,0,6
Egypt,0,3,0,2,0,6
Philippines,1,3,0,3,0,6
Indonesia,1,2,0,3,0,5
Haiti,2,2,0,4,0,5
Guyana,2,2,0,4,0,5
Formosa,2,2,0,4,0,5
FR Yugoslavia,2,2,0,4,0,5
Estonia,2,2,0,4,0,5
Albania,0,2,0,0,1,3
Djibouti,2,2,0,4,0,5
Bahrain,1,2,1,1,1,3
Taiwan,2,2,0,4,0,5
Tanzania,2,2,0,4,0,5
Czechoslovakia,2,2,0,4,0,5
Grenada,0,2,0,0,1,3
Chile,0,2,0,2,0,5
Ceylon,2,2,0,4,0,5
Kosovo,0,2,0,0,1,3
British West Indies,2,2,0,4,0,5
Bohemia,2,2,0,4,0,5
Malaysia,0,2,0,0,1,3
Bahamas,2,2,0,4,0,5
Puerto Rico,0,2,0,0,1,3
Tajikistan,0,2,0,0,1,3
Independent Olympic Participants,2,2,0,4,0,5
Dominican Republic,0,2,0,0,1,3
Iraq,2,2,0,4,0,5
Senegal,2,2,0,4,0,5
Trinidad and Tobago,2,2,0,4,0,5
Tunisia,0,2,0,2,0,5
Suriname,2,2,0,4,0,5
Uganda,0,2,0,2,0,5
Uruguay,2,2,0,4,0,5
Slovenia,1,2,0,3,0,5
Latvia,2,2,0,4,0,5
Virgin Islands,2,2,0,4,0,5
Yugoslavia,2,2,0,4,0,5
Zimbabwe,2,2,0,4,0,5
Venezuela,2,2,0,4,0,5
Australasia,2,2,0,4,0,5
Algeria,1,2,0,3,0,5
Mixed team,2,2,0,4,0,5
Lebanon,2,2,0,4,0,5
Netherlands Antilles,2,2,0,4,0,5
Nigeria,2,2,0,4,0,5
Luxembourg,2,2,0,4,0,5
Bermuda,1,1,1,1,0,2
Refugee Olympic Team,0,1,0,0,0,2
Mozambique,1,1,1,1,0,2
Namibia,1,1,1,1,0,2
Niger,1,1,1,1,0,2
North Macedonia,1,1,1,1,0,2
Panama,0,1,0,0,0,2
Paraguay,1,1,1,1,0,2
Qatar,0,1,0,0,0,2
Saint Lucia,0,1,0,0,0,2
Montenegro,1,1,1,1,0,2
Samoa,1,1,1,1,0,2
San Marino,1,1,1,1,0,2
Saudi Arabia,1,1,1,1,0,2
Serbia and Montenegro,1,1,1,1,0,2
Singapore,0,1,0,0,0,2
Sri Lanka,1,1,1,1,0,2
Sudan,1,1,1,1,0,2
Syria,1,1,1,1,0,2
Togo,1,1,1,1,0,2
Tonga,1,1,1,1,0,2
Turkmenistan,1,1,1,1,0,2
United Arab Emirates,1,1,1,1,0,2
Vietnam,1,1,1,1,0,2
Morocco,0,1,0,0,0,2
Mauritius,1,1,1,1,0,2
Mongolia,0,1,0,0,0,2
Botswana,0,1,0,0,0,2
Burkina Faso,1,1,1,1,0,2
Burundi,1,1,1,1,0,2
Cabo Verde,0,1,0,0,0,2
Cameroon,1,1,1,1,0,2
Costa Rica,1,1,1,1,0,2
Cyprus,0,1,0,0,0,2
Dominica,0,1,0,0,0,2
Barbados,1,1,1,1,0,2
Slovakia,0,1,0,2,0,4
Eritrea,1,1,1,1,0,2
Fiji,0,1,0,0,0,2
Gabon,1,1,1,1,0,2
Ghana,1,1,1,1,0,2
Peru,0,1,0,2,0,4
Guatemala,0,1,0,0,0,2
Pakistan,0,1,0,2,0,4
Iceland,1,1,1,1,0,2
Independent Olympic Athletes,1,1,1,1,0,2
Ivory Coast,0,1,0,0,0,2
Jordan,0,1,0,0,0,2
Afghanistan,1,1,1,1,0,2
Kuwait,1,1,1,1,0,2
Macedonia,1,1,1,1,0,2
Zambia,0,1,0,0,0,2
