NOC,GDP,population
United States,27.72,3.35
China,17.79,14.11
Japan,4.2,1.25
Australia,1.73,0
France,3.05,0.68
Netherlands,1.15,0
Great Britain,3.38,0.68
South Korea,1.71,0.52
Italy,2.3,0.59
Germany,4.53,0.83
New Zealand,0.25,0
Canada,2.14,0.4
Uzbekistan,0.1,0.36
Hungary,0.21,0
Spain,1.62,0.48
Sweden,0.58,0
Kenya,0.11,0.55
Norway,0.49,0
Ireland,0.55,0
Brazil,2.17,2.11
Iran,0.4,0.91
Ukraine,0.18,0.38
Romania,0.35,0
Georgia,0,0
Belgium,0.64,0
Bulgaria,0,0
Serbia,0,0
Czech Republic,0,0
Denmark,0.41,0
Azerbaijan,0,0
Croatia,0,0
Cuba,0,0
Bahrain,0,0
Slovenia,0,0
Chinese Taipei,0.7,0
Austria,0.51,0
Hong Kong,0.3,0
Philippines,0.44,0
Algeria,0,0
Indonesia,1.37,2.81
Israel,0.51,0
Poland,0.81,0.37
Kazakhstan,0,0
Jamaica,0,0
South Africa,0,0.63
Thailand,0.51,0.72
Ethiopia,0,0
Switzerland,0.8,0
Ecuador,0,0
Portugal,0.2,0
Greece,0.24,0
Argentina,0.65,0.46
Egypt,0,0
Tunisia,0,0
Botswana,0,0
Chile,0,0
Saint Lucia,0,0
Uganda,0,0.49
Dominican Republic,0,0
Guatemala,0,0
Morocco,0,0
Dominica,0,0
Pakistan,0,2.48
Turkey,1.12,0.85
Mexico,1.79,1.3
Armenia,0,0
Colombia,0,0
Kyrgyzstan,0,0
North Korea,0,0
Lithuania,0,0
India,3.57,14.38
Moldova,0,0
Kosovo,0,0
Cyprus,0,0
Fiji,0,0
Jordan,0,0
Mongolia,0,0
Panama,0,0
Tajikistan,0,0
Albania,0,0
Grenada,0,0
Malaysia,0,0.35
Puerto Rico,0,0
Cabo Verde,0,0
Ivory Coast,0,0
Peru,0,0.34
Qatar,0.21,0
Refugee Olympic Team,0,0
Singapore,0.51,0
Slovakia,0.13,0
Zambia,0,0
