Year,NOC,Gold,Silver,Bronze,Total,Rank,Athletes,GDP,Host,Past_Gold_Avg,Past_Total_Avg,Past_Gold_Sum,Past_Total_Sum,Cluster
2012,Afghanistan,0,0,1,1,79.0,6.0,1195.0,0,0.0,1.0,0.0,1.0,1
2008,Afghanistan,0,0,1,1,82.0,4.0,661.0,0,0.0,0.0,0.0,0.0,1
2024,Albania,0,0,2,2,80.0,9.0,848.0,0,0.0,0.0,0.0,0.0,1
1984,Algeria,0,0,2,2,42.0,0.0,13283.0,0,0.0,0.0,0.0,0.0,2
2008,Algeria,0,1,1,2,68.0,0.0,12189.0,0,1.3333333333333333,3.3333333333333335,4.0,10.0,2
2024,Algeria,2,0,1,3,39.0,0.0,12189.0,0,0.3333333333333333,1.6666666666666667,1.0,5.0,2
1992,Algeria,1,0,1,2,34.0,0.0,7341.0,0,0.0,2.0,0.0,2.0,2
2012,Algeria,1,0,0,1,50.0,0.0,13946.0,0,1.0,3.3333333333333335,3.0,10.0,2
1996,Algeria,2,0,1,3,34.0,0.0,5787.0,0,0.5,2.0,1.0,4.0,2
2016,Algeria,0,2,0,2,63.0,0.0,9590.0,0,0.6666666666666666,2.6666666666666665,2.0,8.0,2
2000,Algeria,1,1,3,5,42.0,0.0,5325.0,0,1.0,2.3333333333333335,3.0,7.0,2
2008,Argentina,2,0,4,6,35.0,145.0,24456.0,0,0.6666666666666666,4.333333333333333,2.0,13.0,2
2012,Argentina,1,1,2,4,42.0,148.0,33562.0,0,1.3333333333333333,5.333333333333333,4.0,16.0,2
1952,Argentina,1,2,2,5,19.0,174.0,15210.57142857143,0,2.6666666666666665,6.0,8.0,18.0,2
2016,Argentina,3,1,0,4,26.0,232.0,29626.0,0,1.6666666666666667,5.333333333333333,5.0,16.0,2
1936,Argentina,2,2,3,7,14.0,68.0,15210.57142857143,0,2.3333333333333335,5.666666666666667,7.0,17.0,2
1932,Argentina,3,1,0,4,12.0,47.0,15210.57142857143,0,2.0,6.5,4.0,13.0,2
2020,Argentina,0,1,2,3,72.0,208.0,18041.0,0,2.0,4.666666666666667,6.0,14.0,2
1928,Argentina,3,3,1,7,12.0,98.0,15210.57142857143,0,1.0,6.0,1.0,6.0,2
1924,Argentina,1,3,2,6,16.0,109.0,15210.57142857143,0,0.0,0.0,0.0,0.0,2
2024,Argentina,1,1,1,3,52.0,154.0,24456.0,0,1.3333333333333333,3.6666666666666665,4.0,11.0,2
1948,Argentina,3,3,1,7,13.0,295.0,15210.57142857143,0,2.6666666666666665,6.0,8.0,18.0,2
1960,Argentina,0,1,1,2,30.0,116.0,15210.57142857143,0,1.3333333333333333,4.666666666666667,4.0,14.0,2
1956,Argentina,0,1,1,2,29.0,44.0,15210.57142857143,0,2.0,6.333333333333333,6.0,19.0,2
2004,Argentina,2,0,4,6,38.0,179.0,13458.0,0,0.0,2.6666666666666665,0.0,8.0,2
1964,Argentina,0,1,0,1,30.0,148.0,15210.57142857143,0,0.3333333333333333,3.0,1.0,9.0,2
1968,Argentina,0,0,2,2,41.0,132.0,28049.0,0,0.0,1.6666666666666667,0.0,5.0,2
1988,Argentina,0,1,1,2,35.0,134.0,24212.0,0,0.0,1.3333333333333333,0.0,4.0,2
1972,Argentina,0,1,0,1,33.0,123.0,27106.0,0,0.0,1.6666666666666667,0.0,5.0,2
2000,Argentina,0,2,2,4,57.0,165.0,27705.0,0,0.0,2.0,0.0,6.0,2
1996,Argentina,0,2,1,3,54.0,221.0,33684.0,0,0.0,1.3333333333333333,0.0,4.0,2
1992,Argentina,0,0,1,1,54.0,111.0,35067.0,0,0.0,1.6666666666666667,0.0,5.0,2
2000,Armenia,0,0,1,1,71.0,26.0,166.0,0,1.0,2.0,1.0,2.0,1
2016,Armenia,1,3,0,4,42.0,34.0,538.0,0,0.0,2.6666666666666665,0.0,8.0,1
2020,Armenia,0,2,2,4,69.0,19.0,568.0,0,0.3333333333333333,3.6666666666666665,1.0,11.0,1
2012,Armenia,0,1,1,2,65.0,31.0,624.0,0,0.3333333333333333,2.6666666666666665,1.0,8.0,1
1996,Armenia,1,1,0,2,45.0,38.0,170.0,0,0.0,0.0,0.0,0.0,1
2008,Armenia,0,1,4,5,62.0,26.0,766.0,0,0.5,1.5,1.0,3.0,1
