Country,Gold_Probability
Malaysia,0.4745566856620186
Moldova,0.4645477908667099
Kyrgyzstan,0.4581049038110226
Ghana,0.45420611327835436
Kuwait,0.45297404894081605
Saudi Arabia,0.45130206538295414
Iceland,0.45130173678604013
Zambia,0.44875014772653354
Namibia,0.44742963288100523
Afghanistan,0.4463743703326845
Cyprus,0.44487796131538504
Niger,0.4420623264406911
Lebanon,0.4410063330180275
Burkina Faso,0.4397744015388526
Cabo Verde,0.4395984402241296
Refugee Olympic Team,0.4395984063691312
Mauritius,0.4394224111994098
Togo,0.4394224111994098
Albania,0.4392465079218268
Turkmenistan,0.4389823200023577
North Macedonia,0.4389823200023577
Samoa,0.4385424182098343
San Marino,0.4385423884074408
Sudan,0.438542258250814
Eritrea,0.438454466784512
Macedonia,0.43845443776594195
Barbados,0.43845443776594195
Montenegro,0.43836637382195276
Gabon,0.43836628769017266
Paraguay,0.4379264351158093
Sri Lanka,0.4378384375309486
Tonga,0.4375744447763665
Serbia and Montenegro,0.4375744324718264
Haiti,0.43687046893390913
Djibouti,0.4362545416722792
Independent Olympic Participants,0.43607849550659106
Taiwan,0.4359025078049813
Iraq,0.43581458276654567
British West Indies,0.4356385198868275
Bohemia,0.4354625172489944
Virgin Islands,0.43537450515484866
Netherlands Antilles,0.43537450515484866
Senegal,0.43537432058674835
Guyana,0.4352866117666664
Formosa,0.4350225148154058
Ceylon,0.434670524475963
Tanzania,0.43467051217142294
