NOC,Expected_Medals
Liechtenstein,2.050439882697947
Samoa,1.7065906763487408
Rwanda,1.5340548340548341
Angola,1.53297956523763
Guam,1.4954795652376298
Lebanon,1.457817227575292
El Salvador,1.2155192477773122
Aruba,1.1896103896103896
Cayman Islands,1.1340548340548342
Laos,1.0663128985709631
South Sudan,1.0158730158730158
Nicaragua,0.9002414699995345
Guinea,0.7663128985709631
Honduras,0.6905553228133873
Mali,0.5694083694083694
Cook Islands,0.5340548340548341
Bolivia,0.5340548340548341
Nepal,0.5044081366662012
Vanuatu,0.49547956523762976
Palestine,0.4022616720197365
Maldives,0.4007215007215007
Libya,0.4002414699995345
Malta,0.4002414699995345
Comoros,0.3996462319042964
Papua New Guinea,0.3985750360750361
Guinea-Bissau,0.35722198948005396
Andorra,0.3492063492063492
Bhutan,0.30440813666620115
Madagascar,0.29547956523762975
Myanmar,0.2896103896103896
Bangladesh,0.27215007215007214
Democratic Republic of the Congo,0.2683331005911651
Benin,0.2663128985709631
Antigua and Barbuda,0.24516594516594517
Malawi,0.23297956523762975
Bosnia and Herzegovina,0.2286505609086254
Sao Tome and Principe,0.2147977470558116
Ecuador,0.21479774705581156
Congo,0.20072150072150072
American Samoa,0.19655483405483407
Belize,0.18253968253968256
Oman,0.16798340548340548
Seychelles,0.1663128985709631
Gambia,0.157221989480054
Eswatini,0.14516594516594516
Yemen,0.13774146999953452
British Virgin Islands,0.13405483405483407
Somalia,0.12698412698412698
Timor-Leste,0.12496392496392496
Kiribati,0.1106310803891449
Lesotho,0.10678210678210677
Marshall Islands,0.09655483405483406
Solomon Islands,0.09655483405483406
Nauru,0.07837301587301587
Sierra Leone,0.06631289857096309
Central African Republic,0.06631289857096309
Micronesia,0.03405483405483406
Cambodia,0.03405483405483406
Equatorial Guinea,0.03405483405483406
Saint Vincent and the Grenadines,0.03405483405483406
Saint Kitts and Nevis,0.03405483405483406
Brunei,0.03405483405483406
Palau,0.03405483405483406
Mauritania,0.03405483405483406
Tuvalu,0.015873015873015872
Liberia,0.015873015873015872
