NOC,Sport,Compete
AND,Canoe Slalom,1.5
AND,Athletics,0.225
ANG,Sailing,0.5454545454545454
ANG,Handball,1.5
ANG,Swimming,0.43902439024390244
ANG,Athletics,0.225
ANG,Judo,0.36
ANG,Canoe Sprint,0.8571428571428571
ANG,Rowing,0.6428571428571429
ANT,Sailing,0.5454545454545454
ANT,Athletics,0.225
ANT,Swimming,0.43902439024390244
ANT,Boxing,0.32142857142857145
ARU,Shooting,0.3673469387755102
ARU,Swimming,0.43902439024390244
ARU,Sailing,0.5454545454545454
ARU,Cycling BMX Racing,3.0
ASA,Athletics,0.225
ASA,Sailing,0.5454545454545454
ASA,Weightlifting,0.3673469387755102
ASA,Swimming,0.43902439024390244
BAN,Swimming,0.43902439024390244
BAN,Shooting,0.3673469387755102
BAN,Athletics,0.225
BAN,Archery,1.125
BEN,Athletics,0.225
BEN,Swimming,0.43902439024390244
BEN,Judo,0.36
BEN,Rowing,0.6428571428571429
BHU,Archery,1.125
BHU,Shooting,0.3673469387755102
BHU,Judo,0.36
BHU,Swimming,0.43902439024390244
BHU,Athletics,0.225
BIH,Judo,0.36
BIH,Shooting,0.3673469387755102
BIH,Taekwondo,0.3673469387755102
BIH,Swimming,0.43902439024390244
BIH,Athletics,0.225
BIZ,Canoe Sprint,0.8571428571428571
BIZ,Athletics,0.225
BOL,Swimming,0.43902439024390244
BOL,Athletics,0.225
BOL,Tennis,0.5142857142857142
BRU,Swimming,0.43902439024390244
BRU,Athletics,0.225
CAF,Athletics,0.225
CAF,Swimming,0.43902439024390244
CAF,Judo,0.36
CAM,Swimming,0.43902439024390244
CAM,Athletics,0.225
CAY,Swimming,0.43902439024390244
CAY,Athletics,0.225
CAY,Artistic Gymnastics,0.782608695652174
CAY,Sailing,0.5454545454545454
CGO,Athletics,0.225
CGO,Swimming,0.43902439024390244
CGO,Table Tennis,1.0
COD,Judo,0.36
COD,Taekwondo,0.3673469387755102
COD,Boxing,0.32142857142857145
COD,Athletics,0.225
COD,Swimming,0.43902439024390244
COK,Athletics,0.225
COK,Swimming,0.43902439024390244
COK,Canoe Slalom,1.5
COK,Canoe Sprint,0.8571428571428571
COM,Athletics,0.225
COM,Judo,0.36
COM,Swimming,0.43902439024390244
COM,Canoe Slalom,1.5
EG,Archery,1.125
EG,Athletics,0.225
EG,Judo,0.36
ESA,Swimming,0.43902439024390244
ESA,Sailing,0.5454545454545454
ESA,Athletics,0.225
ESA,Boxing,0.32142857142857145
ESA,Shooting,0.3673469387755102
ESA,Badminton,0.782608695652174
ESA,RUrfing,3.0
ESA,Archery,1.125
ESA,Judo,0.36
FSM,Swimming,0.43902439024390244
FSM,Athletics,0.225
GAM,Athletics,0.225
GAM,Swimming,0.43902439024390244
GAM,Judo,0.36
GAM,Taekwondo,0.3673469387755102
GBS,Athletics,0.225
GBS,Judo,0.36
GBS,Wrestling,0.35294117647058826
GBS,Taekwondo,0.3673469387755102
GBS,Swimming,0.43902439024390244
GEQ,Athletics,0.225
GEQ,Swimming,0.43902439024390244
GUI,Swimming,0.43902439024390244
GUI,Judo,0.36
GUI,Wrestling,0.35294117647058826
GUI,Athletics,0.225
GUI,Archery,1.125
GUI,Football,1.0
GUM,Judo,0.36
GUM,Wrestling,0.35294117647058826
GUM,Swimming,0.43902439024390244
GUM,Athletics,0.225
GUM,Triathlon,1.125
GUM,Canoe Sprint,0.8571428571428571
GUM,Weightlifting,0.3673469387755102
HON,Football,1.0
HON,Swimming,0.43902439024390244
HON,Taekwondo,0.3673469387755102
HON,Judo,0.36
HON,Athletics,0.225
HON,Wrestling,0.35294117647058826
IVB,Athletics,0.225
IVB,Swimming,0.43902439024390244
IVB,Sailing,0.5454545454545454
KIR,Judo,0.36
KIR,Weightlifting,0.3673469387755102
KIR,Athletics,0.225
LAO,Swimming,0.43902439024390244
LAO,Athletics,0.225
LAO,Judo,0.36
LAO,Rhythmic Gymnastics,2.25
LBA,Athletics,0.225
LBA,Rowing,0.6428571428571429
LBA,Swimming,0.43902439024390244
LBA,Judo,0.36
LBA,Weightlifting,0.3673469387755102
LBA,Shooting,0.3673469387755102
LBN,Shooting,0.3673469387755102
LBN,Swimming,0.43902439024390244
LBN,Judo,0.36
LBN,Weightlifting,0.3673469387755102
LBN,Athletics,0.225
LBN,Taekwondo,0.3673469387755102
LBN,Table Tennis,1.0
LBN,Fencing,0.75
LBN,Tennis,0.5142857142857142
LBR,Athletics,0.225
LES,Athletics,0.225
LES,Taekwondo,0.3673469387755102
LIE,Swimming,0.43902439024390244
LIE,Artistic Swimming,3.0
LIE,Judo,0.36
LIE,Cycling Mountain Bike,2.5714285714285716
MAD,Weightlifting,0.3673469387755102
MAD,Judo,0.36
MAD,Swimming,0.43902439024390244
MAD,Athletics,0.225
MAD,Table Tennis,1.0
MAW,Judo,0.36
MAW,Archery,1.125
MAW,Swimming,0.43902439024390244
MAW,Athletics,0.225
MDV,Badminton,0.782608695652174
MDV,Swimming,0.43902439024390244
MDV,Athletics,0.225
MDV,Table Tennis,1.0
MHL,Swimming,0.43902439024390244
MHL,Weightlifting,0.3673469387755102
MHL,Athletics,0.225
MLI,Athletics,0.225
MLI,Taekwondo,0.3673469387755102
MLI,Swimming,0.43902439024390244
MLI,Football,1.0
MLI,Boxing,0.32142857142857145
MLT,Badminton,0.782608695652174
MLT,Shooting,0.3673469387755102
MLT,Swimming,0.43902439024390244
MLT,Athletics,0.225
MLT,Weightlifting,0.3673469387755102
MLT,Judo,0.36
MTN,Athletics,0.225
MTN,Swimming,0.43902439024390244
MYA,Shooting,0.3673469387755102
MYA,Badminton,0.782608695652174
MYA,Swimming,0.43902439024390244
NEP,Judo,0.36
NEP,Athletics,0.225
NEP,Shooting,0.3673469387755102
NEP,Swimming,0.43902439024390244
NEP,Badminton,0.782608695652174
NEP,Table Tennis,1.0
NI,Shooting,0.3673469387755102
NI,Rowing,0.6428571428571429
NI,Weightlifting,0.3673469387755102
NI,Judo,0.36
NI,Swimming,0.43902439024390244
NI,Athletics,0.225
NI,RUrfing,3.0
NRU,Weightlifting,0.3673469387755102
NRU,Athletics,0.225
OMA,Swimming,0.43902439024390244
OMA,Athletics,0.225
OMA,Shooting,0.3673469387755102
OMA,Weightlifting,0.3673469387755102
PLE,Judo,0.36
PLE,Swimming,0.43902439024390244
PLE,Athletics,0.225
PLE,Weightlifting,0.3673469387755102
PLE,Boxing,0.32142857142857145
PLE,Taekwondo,0.3673469387755102
PLE,Shooting,0.3673469387755102
