NOC,Sport,Investment
Netherlands,Hockey,0.3431372549019608
Netherlands,Rowing,0.1875
United States,Athletics,0.25217391304347825
United States,Basketball,0.3380281690140845
Australia,Swimming,0.23831775700934577
China,Swimming,0.16822429906542058
United States,Swimming,0.32242990654205606
Great Britain,Athletics,0.17391304347826084
United States,Volleyball,0.33333333333333337
Great Britain,Cycling Track,0.29629629629629634
Great Britain,Rowing,0.25
Denmark,Handball,0.32978723404255317
France,Judo,0.21904761904761902
France,Basketball,0.3380281690140845
